Variable,Value
latest.earnings.8_yrs_after_entry.median_earnings_non_male,43321
latest.earnings.8_yrs_after_entry.not_working_not_enrolled,1207
latest.earnings.8_yrs_after_entry.median_earnings_dependent,42117
latest.earnings.8_yrs_after_entry.working_not_enrolled_male,2906
latest.earnings.8_yrs_after_entry.percent_greater_than_25000,0.663
latest.earnings.8_yrs_after_entry.percent_greater_than_28000,0.634
latest.earnings.8_yrs_after_entry.median_earnings_independent,49024
latest.earnings.8_yrs_after_entry.working_not_enrolled_non_male,3159
latest.earnings.8_yrs_after_entry.median_earnings_lowest_tercile,44153
latest.earnings.8_yrs_after_entry.median_earnings_middle_tercile,45165
latest.earnings.8_yrs_after_entry.working_not_enrolled_dependent,3684
latest.earnings.8_yrs_after_entry.median_earnings_highest_tercile,47231
latest.earnings.8_yrs_after_entry.working_not_enrolled_independent,2381
latest.earnings.8_yrs_after_entry.working_not_enrolled_lowest_tercile,3579
latest.earnings.8_yrs_after_entry.working_not_enrolled_middle_tercile,1975
latest.earnings.8_yrs_after_entry.working_not_enrolled_highest_tercile,511
latest.earnings.9_yrs_after_entry.gt_threshold,0.6548
latest.earnings.9_yrs_after_entry.mean_earnings,43100
latest.earnings.9_yrs_after_entry.std_deviation,36969
latest.earnings.9_yrs_after_entry.median_earnings,43021
latest.earnings.9_yrs_after_entry.median_earnings_male,46386
latest.earnings.9_yrs_after_entry.working_not_enrolled,5554
latest.earnings.9_yrs_after_entry.25th_percentile_earnings,24261
latest.earnings.9_yrs_after_entry.75th_percentile_earnings,66003
latest.earnings.9_yrs_after_entry.median_earnings_non_male,40985
latest.earnings.9_yrs_after_entry.not_working_not_enrolled,1046
latest.earnings.9_yrs_after_entry.median_earnings_dependent,41997
latest.earnings.9_yrs_after_entry.working_not_enrolled_male,2645
latest.earnings.9_yrs_after_entry.percent_greater_than_25000,0.71038436889648
latest.earnings.9_yrs_after_entry.median_earnings_independent,45831
latest.earnings.9_yrs_after_entry.working_not_enrolled_non_male,2909
latest.earnings.9_yrs_after_entry.median_earnings_lowest_tercile,41668
latest.earnings.9_yrs_after_entry.median_earnings_middle_tercile,44382
latest.earnings.9_yrs_after_entry.working_not_enrolled_dependent,3430
latest.earnings.9_yrs_after_entry.median_earnings_highest_tercile,48162
latest.earnings.9_yrs_after_entry.working_not_enrolled_independent,2122
latest.earnings.9_yrs_after_entry.working_not_enrolled_lowest_tercile,3266
latest.earnings.9_yrs_after_entry.working_not_enrolled_middle_tercile,1832
latest.earnings.9_yrs_after_entry.working_not_enrolled_highest_tercile,455
latest.earnings.3_yrs_after_completion.overall_count_over_poverty_line,900
latest.earnings.3_yrs_after_completion.working_not_enrolled.overall_count,1072
latest.earnings.3_yrs_after_completion.not_working_not_enrolled.overall_count,70
latest.completion.consumer_rate,0.2063
latest.completion.pooled_yrs_used,2
latest.completion.pooled_yrs_used_100,2
latest.completion.pooled_yrs_used_200,2
latest.completion.title_iv.died_by.2yrs,
latest.completion.title_iv.died_by.3yrs,
latest.completion.title_iv.died_by.4yrs,
latest.completion.title_iv.died_by.6yrs,
latest.completion.title_iv.died_by.8yrs,
latest.completion.title_iv.unknown_by.2yrs,0.005762028234
latest.completion.title_iv.unknown_by.3yrs,0.007401533175
latest.completion.title_iv.unknown_by.4yrs,0.006103515625
latest.completion.title_iv.unknown_by.6yrs,
latest.completion.title_iv.unknown_by.8yrs,0.100277998411
latest.completion.title_iv.completed_by.2yrs,0.070584845866
latest.completion.title_iv.completed_by.3yrs,0.058154903516
latest.completion.title_iv.completed_by.4yrs,0.078369140625
latest.completion.title_iv.completed_by.6yrs,0.156500976774
latest.completion.title_iv.completed_by.8yrs,0.169777601271
latest.completion.title_iv.male.died_by.2yrs,
latest.completion.title_iv.male.died_by.3yrs,
latest.completion.title_iv.male.died_by.4yrs,
latest.completion.title_iv.male.died_by.6yrs,
latest.completion.title_iv.male.died_by.8yrs,
latest.completion.title_iv.male.unknown_by.2yrs,
latest.completion.title_iv.male.unknown_by.3yrs,0.007317073171
latest.completion.title_iv.male.unknown_by.4yrs,
latest.completion.title_iv.male.unknown_by.6yrs,
latest.completion.title_iv.male.unknown_by.8yrs,0.119841966637
latest.completion.title_iv.male.completed_by.2yrs,0.061029879212
latest.completion.title_iv.male.completed_by.3yrs,0.045731707317
latest.completion.title_iv.male.completed_by.4yrs,0.08170995671
latest.completion.title_iv.male.completed_by.6yrs,0.146879399343
latest.completion.title_iv.male.completed_by.8yrs,0.150570676032
latest.completion.title_iv.male.withdrawn_by.2yrs,0.572790845518
latest.completion.title_iv.male.withdrawn_by.3yrs,0.553658536585
latest.completion.title_iv.male.withdrawn_by.4yrs,0.507575757576
latest.completion.title_iv.male.withdrawn_by.6yrs,0.46597841389
latest.completion.title_iv.male.withdrawn_by.8yrs,0.312554872695
latest.completion.title_iv.male.still_enrolled_by.2yrs,0.143038779402
latest.completion.title_iv.male.still_enrolled_by.3yrs,0.073170731707
latest.completion.title_iv.male.still_enrolled_by.4yrs,0.042748917749
latest.completion.title_iv.male.still_enrolled_by.6yrs,0.015954950727
latest.completion.title_iv.male.still_enrolled_by.8yrs,0.005267778753
latest.completion.title_iv.male.transf_unknown_2yr_by.2yrs,
latest.completion.title_iv.male.transf_unknown_2yr_by.3yrs,
latest.completion.title_iv.male.transf_unknown_2yr_by.4yrs,
latest.completion.title_iv.male.transf_unknown_2yr_by.6yrs,
latest.completion.title_iv.male.transf_unknown_2yr_by.8yrs,
latest.completion.title_iv.male.transf_unknown_4yr_by.2yrs,
latest.completion.title_iv.male.transf_unknown_4yr_by.3yrs,
latest.completion.title_iv.male.transf_unknown_4yr_by.4yrs,
latest.completion.title_iv.male.transf_unknown_4yr_by.6yrs,0.00563115908
latest.completion.title_iv.male.transf_unknown_4yr_by.8yrs,0.004828797191
latest.completion.title_iv.male.transf_completed_2yr_by.2yrs,0.012078830261
latest.completion.title_iv.male.transf_completed_2yr_by.3yrs,0.020731707317
latest.completion.title_iv.male.transf_completed_2yr_by.4yrs,0.021645021645
latest.completion.title_iv.male.transf_completed_2yr_by.6yrs,0.035194744252
latest.completion.title_iv.male.transf_completed_2yr_by.8yrs,0.035557506585
latest.completion.title_iv.male.transf_completed_4yr_by.2yrs,0.012078830261
latest.completion.title_iv.male.transf_completed_4yr_by.3yrs,0.04756097561
latest.completion.title_iv.male.transf_completed_4yr_by.4yrs,0.082251082251
latest.completion.title_iv.male.transf_completed_4yr_by.6yrs,0.115908024402
latest.completion.title_iv.male.transf_completed_4yr_by.8yrs,0.182616330114
latest.completion.title_iv.male.transf_withdrawn_2yr_by.2yrs,0.023521932613
latest.completion.title_iv.male.transf_withdrawn_2yr_by.3yrs,0.039024390244
latest.completion.title_iv.male.transf_withdrawn_2yr_by.4yrs,0.045454545455
latest.completion.title_iv.male.transf_withdrawn_2yr_by.6yrs,0.053026748006
latest.completion.title_iv.male.transf_withdrawn_2yr_by.8yrs,0.062774363477
latest.completion.title_iv.male.transf_withdrawn_4yr_by.2yrs,0.029243483789
latest.completion.title_iv.male.transf_withdrawn_4yr_by.3yrs,0.05
latest.completion.title_iv.male.transf_withdrawn_4yr_by.4yrs,0.062770562771
latest.completion.title_iv.male.transf_withdrawn_4yr_by.6yrs,0.08634443923
latest.completion.title_iv.male.transf_withdrawn_4yr_by.8yrs,0.084723441615
latest.completion.title_iv.male.transf_still_enrolled_2yr_by.2yrs,0.019071837254
latest.completion.title_iv.male.transf_still_enrolled_2yr_by.3yrs,0.017073170732
latest.completion.title_iv.male.transf_still_enrolled_2yr_by.4yrs,0.019480519481
latest.completion.title_iv.male.transf_still_enrolled_2yr_by.6yrs,0.009385265134
latest.completion.title_iv.male.transf_still_enrolled_2yr_by.8yrs,0.007023705004
latest.completion.title_iv.male.transf_still_enrolled_4yr_by.2yrs,0.11951684679
latest.completion.title_iv.male.transf_still_enrolled_4yr_by.3yrs,0.137804878049
latest.completion.title_iv.male.transf_still_enrolled_4yr_by.4yrs,0.122294372294
latest.completion.title_iv.male.transf_still_enrolled_4yr_by.6yrs,0.054434537776
latest.completion.title_iv.male.transf_still_enrolled_4yr_by.8yrs,0.029411764706
latest.completion.title_iv.withdrawn_by.2yrs,0.518006338231
latest.completion.title_iv.withdrawn_by.3yrs,0.496695744118
latest.completion.title_iv.withdrawn_by.4yrs,0.45263671875
latest.completion.title_iv.withdrawn_by.6yrs,0.403950510093
latest.completion.title_iv.withdrawn_by.8yrs,0.286735504369
latest.completion.title_iv.depend.died_by.2yrs,
latest.completion.title_iv.depend.died_by.3yrs,
latest.completion.title_iv.depend.died_by.4yrs,
latest.completion.title_iv.depend.died_by.6yrs,
latest.completion.title_iv.depend.died_by.8yrs,
latest.completion.title_iv.depend.unknown_by.2yrs,
latest.completion.title_iv.depend.unknown_by.3yrs,
latest.completion.title_iv.depend.unknown_by.4yrs,
latest.completion.title_iv.depend.unknown_by.6yrs,
latest.completion.title_iv.depend.unknown_by.8yrs,0.10182767624
latest.completion.title_iv.depend.completed_by.2yrs,0.081730769231
latest.completion.title_iv.depend.completed_by.3yrs,0.059137733689
latest.completion.title_iv.depend.completed_by.4yrs,0.080188679245
latest.completion.title_iv.depend.completed_by.6yrs,0.158762193071
latest.completion.title_iv.depend.completed_by.8yrs,0.167754569191
latest.completion.title_iv.depend.withdrawn_by.2yrs,0.522836538462
latest.completion.title_iv.depend.withdrawn_by.3yrs,0.505532239603
latest.completion.title_iv.depend.withdrawn_by.4yrs,0.440856313498
latest.completion.title_iv.depend.withdrawn_by.6yrs,0.405314497141
latest.completion.title_iv.depend.withdrawn_by.8yrs,0.269255874674
latest.completion.title_iv.depend.still_enrolled_by.2yrs,0.152243589744
latest.completion.title_iv.depend.still_enrolled_by.3yrs,0.088515833651
latest.completion.title_iv.depend.still_enrolled_by.4yrs,0.055152394775
latest.completion.title_iv.depend.still_enrolled_by.6yrs,0.020854355869
latest.completion.title_iv.depend.still_enrolled_by.8yrs,0.005548302872
latest.completion.title_iv.depend.transf_unknown_2yr_by.2yrs,
latest.completion.title_iv.depend.transf_unknown_2yr_by.3yrs,
latest.completion.title_iv.depend.transf_unknown_2yr_by.4yrs,
latest.completion.title_iv.depend.transf_unknown_2yr_by.6yrs,
latest.completion.title_iv.depend.transf_unknown_2yr_by.8yrs,
latest.completion.title_iv.depend.transf_unknown_4yr_by.2yrs,
latest.completion.title_iv.depend.transf_unknown_4yr_by.3yrs,
latest.completion.title_iv.depend.transf_unknown_4yr_by.4yrs,
latest.completion.title_iv.depend.transf_unknown_4yr_by.6yrs,
latest.completion.title_iv.depend.transf_unknown_4yr_by.8yrs,0.006853785901
latest.completion.title_iv.depend.transf_completed_2yr_by.2yrs,0.013221153846
latest.completion.title_iv.depend.transf_completed_2yr_by.3yrs,0.020221289584
latest.completion.title_iv.depend.transf_completed_2yr_by.4yrs,0.0293904209
latest.completion.title_iv.depend.transf_completed_2yr_by.6yrs,0.048099562731
latest.completion.title_iv.depend.transf_completed_2yr_by.8yrs,0.057114882507
latest.completion.title_iv.depend.transf_completed_4yr_by.2yrs,0.008012820513
latest.completion.title_iv.depend.transf_completed_4yr_by.3yrs,0.042350247997
latest.completion.title_iv.depend.transf_completed_4yr_by.4yrs,0.106313497823
latest.completion.title_iv.depend.transf_completed_4yr_by.6yrs,0.143289606458
latest.completion.title_iv.depend.transf_completed_4yr_by.8yrs,0.197454308094
latest.completion.title_iv.depend.transf_withdrawn_2yr_by.2yrs,0.022836538462
latest.completion.title_iv.depend.transf_withdrawn_2yr_by.3yrs,0.039297977871
latest.completion.title_iv.depend.transf_withdrawn_2yr_by.4yrs,0.043541364296
latest.completion.title_iv.depend.transf_withdrawn_2yr_by.6yrs,0.054490413724
latest.completion.title_iv.depend.transf_withdrawn_2yr_by.8yrs,0.057767624021
latest.completion.title_iv.depend.transf_withdrawn_4yr_by.2yrs,
latest.completion.title_iv.depend.transf_withdrawn_4yr_by.3yrs,0.045020984357
latest.completion.title_iv.depend.transf_withdrawn_4yr_by.4yrs,0.065312046444
latest.completion.title_iv.depend.transf_withdrawn_4yr_by.6yrs,0.083417423478
latest.completion.title_iv.depend.transf_withdrawn_4yr_by.8yrs,0.085835509138
latest.completion.title_iv.depend.transf_still_enrolled_2yr_by.2yrs,0.019631410256
latest.completion.title_iv.depend.transf_still_enrolled_2yr_by.3yrs,0.021747424647
latest.completion.title_iv.depend.transf_still_enrolled_2yr_by.4yrs,0.019956458636
latest.completion.title_iv.depend.transf_still_enrolled_2yr_by.6yrs,0.013454423142
latest.completion.title_iv.depend.transf_still_enrolled_2yr_by.8yrs,0.009791122715
latest.completion.title_iv.depend.transf_still_enrolled_4yr_by.2yrs,0.140224358974
latest.completion.title_iv.depend.transf_still_enrolled_4yr_by.3yrs,0.164822586799
latest.completion.title_iv.depend.transf_still_enrolled_4yr_by.4yrs,0.144775036284
latest.completion.title_iv.depend.transf_still_enrolled_4yr_by.6yrs,0.059199461823
latest.completion.title_iv.depend.transf_still_enrolled_4yr_by.8yrs,0.037206266319
latest.completion.title_iv.female.died_by.2yrs,
latest.completion.title_iv.female.died_by.3yrs,
latest.completion.title_iv.female.died_by.4yrs,
latest.completion.title_iv.female.died_by.6yrs,
latest.completion.title_iv.female.died_by.8yrs,
latest.completion.title_iv.female.unknown_by.2yrs,
latest.completion.title_iv.female.unknown_by.3yrs,0.007466168922
latest.completion.title_iv.female.unknown_by.4yrs,
latest.completion.title_iv.female.unknown_by.6yrs,
latest.completion.title_iv.female.unknown_by.8yrs,0.084118926759
latest.completion.title_iv.female.completed_by.2yrs,0.078503688093
